Id,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,TotalBsmtSF,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageType,GarageCars,GarageArea,WoodDeckSF,PoolArea,SalePrice
1,RL,65,8450,Pave,,Reg,CollgCr,1Fam,2Story,7,5,2003,2003,Gable,856,SBrkr,856,854,1710,2,1,3,1,8,Attchd,2,548,0,0,208500
2,RL,80,9600,Pave,,Reg,Veenker,1Fam,1Story,6,8,1976,1976,Gable,1262,SBrkr,1262,0,1262,2,0,3,1,6,Attchd,2,460,298,0,181500
3,RL,68,11250,Pave,,IR1,CollgCr,1Fam,2Story,7,5,2001,2002,Gable,920,SBrkr,920,866,1786,2,1,3,1,6,Attchd,2,608,0,0,223500
4,RL,60,9550,Pave,,IR1,Crawfor,1Fam,2Story,7,5,1915,1970,Gable,756,SBrkr,961,756,1717,1,0,3,1,7,Detchd,3,642,0,0,140000
5,RL,84,14260,Pave,,IR1,NoRidge,1Fam,2Story,8,5,2000,2000,Gable,1145,SBrkr,1145,1053,2198,2,1,4,1,9,Attchd,3,836,192,0,250000
6,RL,85,14115,Pave,,IR1,Mitchel,1Fam,1.5Fin,5,5,1993,1995,Gable,796,SBrkr,796,566,1362,1,1,1,1,5,Attchd,2,480,40,0,143000
7,RL,75,10084,Pave,,Reg,Somerst,1Fam,1Story,8,5,2004,2005,Gable,1686,SBrkr,1694,0,1694,2,0,3,1,7,Attchd,2,636,255,0,307000
8,RL,,10382,Pave,,IR1,NWAmes,1Fam,2Story,7,6,1973,1973,Gable,1107,SBrkr,1107,983,2090,2,1,3,1,7,Attchd,2,484,235,0,200000
9,RM,51,6120,Pave,,Reg,OldTown,1Fam,1.5Fin,7,5,1931,1950,Gable,952,FuseF,1022,752,1774,2,0,2,2,8,Detchd,2,468,90,0,129900
10,RL,50,7420,Pave,,Reg,BrkSide,2fmCon,1.5Unf,5,6,1939,1950,Gable,991,SBrkr,1077,0,1077,1,0,2,2,5,Attchd,1,205,0,0,118000
11,RL,70,11200,Pave,,Reg,Sawyer,1Fam,1Story,5,5,1965,1965,Hip,1040,SBrkr,1040,0,1040,1,0,3,1,5,Detchd,1,384,0,0,129500
12,RL,85,11924,Pave,,IR1,NridgHt,1Fam,2Story,9,5,2005,2006,Hip,1175,SBrkr,1182,1142,2324,3,0,4,1,11,BuiltIn,3,736,147,0,345000
13,RL,,12968,Pave,,IR2,Sawyer,1Fam,1Story,5,6,1962,1962,Hip,912,SBrkr,912,0,912,1,0,2,1,4,Detchd,1,352,140,0,144000
14,RL,91,10652,Pave,,IR1,CollgCr,1Fam,1Story,7,5,2006,2007,Gable,1494,SBrkr,1494,0,1494,2,0,3,1,7,Attchd,3,840,160,0,279500
15,RL,,10920,Pave,,IR1,NAmes,1Fam,1Story,6,5,1960,1960,Hip,1253,SBrkr,1253,0,1253,1,1,2,1,5,Attchd,1,352,0,0,157000
16,RM,51,6120,Pave,,Reg,BrkSide,1Fam,1.5Unf,7,8,1929,2001,Gable,832,FuseA,854,0,854,1,0,2,1,5,Detchd,2,576,48,0,132000
17,RL,,11241,Pave,,IR1,NAmes,1Fam,1Story,6,7,1970,1970,Gable,1004,SBrkr,1004,0,1004,1,0,2,1,5,Attchd,2,480,0,0,149000
18,RL,72,10791,Pave,,Reg,Sawyer,Duplex,1Story,4,5,1967,1967,Gable,0,SBrkr,1296,0,1296,2,0,2,2,6,CarPort,2,516,0,0,90000
19,RL,66,13695,Pave,,Reg,SawyerW,1Fam,1Story,5,5,2004,2004,Gable,1114,SBrkr,1114,0,1114,1,1,3,1,6,Detchd,2,576,0,0,159000
20,RL,70,7560,Pave,,Reg,NAmes,1Fam,1Story,5,6,1958,1965,Hip,1029,SBrkr,1339,0,1339,1,0,3,1,6,Attchd,1,294,0,0,139000
21,RL,101,14215,Pave,,IR1,NridgHt,1Fam,2Story,8,5,2005,2006,Gable,1158,SBrkr,1158,1218,2376,3,1,4,1,9,BuiltIn,3,853,240,0,325300
22,RM,57,7449,Pave,Grvl,Reg,IDOTRR,1Fam,1.5Unf,7,7,1930,1950,Gable,637,FuseF,1108,0,1108,1,0,3,1,6,Attchd,1,280,0,0,139400
23,RL,75,9742,Pave,,Reg,CollgCr,1Fam,1Story,8,5,2002,2002,Hip,1777,SBrkr,1795,0,1795,2,0,3,1,7,Attchd,2,534,171,0,230000
24,RM,44,4224,Pave,,Reg,MeadowV,TwnhsE,1Story,5,7,1976,1976,Gable,1040,SBrkr,1060,0,1060,1,0,3,1,6,Attchd,2,572,100,0,129900
25,RL,,8246,Pave,,IR1,Sawyer,1Fam,1Story,5,8,1968,2001,Gable,1060,SBrkr,1060,0,1060,1,0,3,1,6,Attchd,1,270,406,0,154000
26,RL,110,14230,Pave,,Reg,NridgHt,1Fam,1Story,8,5,2007,2007,Gable,1566,SBrkr,1600,0,1600,2,0,3,1,7,Attchd,3,890,0,0,256300
27,RL,60,7200,Pave,,Reg,NAmes,1Fam,1Story,5,7,1951,2000,Gable,900,SBrkr,900,0,900,1,0,3,1,5,Detchd,2,576,222,0,134800
